example_id,problem,problem_category,answer,answer_type
197,"Identify years where Burning Man attendance was lower than the prior year between 2013 and the year prior to the COVID 19 Pandemic, ignoring Margin of Error. What were the total revenues listed on the 990 tax forms for those years?",Arts,"2014: 32,364,009, 2016: 46,218,471",Set Answer
198,"According to Union Pacific's 2023 10-K, excluding the premium category, which commodity type accounted for the greatest percentage of its revenue in 2023?",Finance & Economics,Grain & grain products,Single Answer
199,"Base your output on 1) the number of active Federal Firearms Licenses (FFLs) as of July 2021 according to Orchid Advisors, and 2) Firearm Mortality by State from the CDC's National Center for Health Statistics. Considering data for the following states: Florida, Alabama, and Mississippi, identify which of these states has the lowest ratio of active FFLs as of July 2021 to firearm-related deaths in 2022 (i.e., the number of active FFLs as of July 2021 divided by the number of firearm-related deaths in 2022).",Politics & Government,Alabama,Single Answer
200,"As of 2023, out of the US states where lane filtering (not shoulder surfing) is explicitly legal for motorcyclists (according to worldpopulationreview.com), which state (excluding California) saw the highest percentage increase in motorcycles involved in fatal crashes (excluding single-vehicle crashes, according to FARS data), when comparing the year its lane filtering law took effect to the year after? For example, if a lane filtering law took effect in a US state on June 1, 2021, compare the FARS data from 2021 to 2022.",Travel,Montana,Single Answer
201,"Based on the public high school graduation rates from the National Center for Education Statistics for 2019-2020, which state had the lowest population based on the 2020 census among the states with an adjusted cohort graduation rate (ACGR) gap of 10 or less for both white and black and white and Hispanic students?",Politics & Government,Alaska,Single Answer
202,"Based on USNWR 2023 data for the largest countries by population, and CIA World Factbook data for export commodities, what is the most commonly occurring export commodity across the top 5 largest countries?",Finance & Economics,Garments,Single Answer
203,"Which Tasmanian LGAs with a population over 20,000 (as of June 2023) share a name with a city (or cities) in the United States?",Geography,"Clarence, Hobart",Set Answer
204,list the top 4 magnitude earthquakes in May 2024 that were within the state of California. Please list from lowest to highest with the city in California,Geography,"May 18th, 2024, 3.9, Brawley; May 15th, 2024, 4.0, Blue Lake; May 20th, 2024, 4.1, Corona; May 1st, 2024, 4.1, Ocotillo Wells",Set Answer
205,"According to the paper ""Combining phylogenomic and supermatrix approaches, and a time-calibrated phylogeny for squamate reptiles (lizards and snakes) based on 52 genes and 4162 species"", geckos have several families, could you list the northernmost genus of the sister family to the family with the least total species diversity.",Science,Lialis,Single Answer
206,"Give me the New England and states bordering the Great Lakes that prohibit left turn on red, in descending order of number of traffic fatalities in 2023.",Other,"Connecticut, Maine, New Hampshire, Rhode Island",Set Answer
207,"As per the 2023 Times Higher Education rankings, which Russell Group universities feature in the top 10 for all 3 of the following subjects: Clinical and Health, Arts and Humanities, and Psychology?",Education,"University of Cambridge, UCL",Set Answer
208,"I'm doing a study on the popularity of Georgia O' Keeffe's early work. The Brooklyn Museum's Georgia O’Keeffe: Living Modern exhibition displayed some of these pieces; could you find the titles of her paintings as recorded in the museum's online collection for this exhibit? Look for paintings with completion dates that fall from the year she graduated high school, to the year she moved to Canyon, Texas, inclusive.",Arts,"Blue #1, Blue #2, Blue #3, Blue #4",Set Answer
209,"What were the only US states with the number of paid hunting licenses over one million in 1990, 1991, and 2000 according to the Partner With A Payer website.",Politics & Government,Pennsylvania,Set Answer
210,What are the countries from the World Happiness Report top 10 in 2022 are in the EU and have a total forest area percentage above 10% as of 2022 (according to Eurostat)?,Geography,"Finland, Denmark, Sweden, Luxembourg",Set Answer
211,"Give me a list of all of the fish that Albacore form mixed schools with, but ignore the ones that can live over 20 years.",Science,"Skipjack Tuna, Yellowfin Tuna",Set Answer
212,"Out of all the major cities in the USA, with a population of 2-5 million (based on 2020 census data), which one has the highest murder rate per 100,000 people in 2022, according to Robslink?",Geography,"Chicago, Illinois.",Single Answer
213,"As of 2023, according to the USDA's most recent versus second most recent data, what was the fruit with the highest average cup equivalent prices in both instances?",Finance & Economics,"Canned cherries, packed in syrup or water.",Single Answer
214,"As according to the website database.earth, from the years 1965 to 1975, find the countries in South-Eastern Asia that had a GDP Growth Rate of 10% or more for at least two of those years. Of those countries, which had an average life expectancy that increased by 5 years or more?",Geography,"Myanmar, Thailand",Set Answer
215,"According to BRFSS, what states had a prevalence below 45% of adults who have had at least one drink of alcohol within the past 30 days, between 2019 and 2022",Health,"Alabama, Arkansas, Mississippi, Oklahoma, Utah, West Virginia",Set Answer
216,"In 2022, which U.S states that had a teen birthrate of 20 (or higher) per 1000 also mandated that any sex education prioritize abstinence-based sex education?",Health,"Alabama (20.9 - curriculum must emphasize abstinence), Arkansas (24.6 - curriculum must stress abstinence), Kentucky (21.8 - curriculum must include instruction on abstinence as the desirable goal), Louisiana (23.7 - curriculum must emphasize abstinence as the expected social standard), Mississippi (26.4 - curriculum must stress abstinence through “abstinence-only” or “abstinence-plus” instruction), Oklahoma (21.2 - curriculum must primarily inform students about abstinence), Tennessee (21 - curriculum must stress abstinence), Texas (20.4 - curriculum must emphasize abstinence).",Set Answer
217,"Of the two people awarded the Nobel Prize for their discovery of neutrino oscillations that showed neutrinos have mass and revealed that The Standard Model needed to be revised/updated, I remember one of them being involved with the development of a new ventilator in response to COVID. The person credited as the creator/leader of that effort to develop these improved ventilators is also a well-known physicist, but I forget their name too. Anyways, I’m looking for the name of the paper the ventilator creator/leader published on phenyl-o-xylylethane as a liquid medium for detection equipment as it appears in Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment. Just say the name of the paper, nothing else",Science,Study of phenylxylylethane (PXE) as scintillator for low energy neutrino experiments,Single Answer
218,"Using only the figures quoted in Airbnb’s quarterly earnings transcripts, which quarter saw the largest increase in EBITDA profit from 2021 to 2022, among those with a revenue growth of $700 million or more during the same period?",Finance & Economics,Quarter 3 2022,Single Answer
219,Consider all European cities that have ever hosted a World Expo (up to and including 2020) according to the Bureau International des Expositions (not Specialized Expos) but are not the capital of their respective country. List the year of the most recent World Expo hosted by each of those cities that are on the Iberian Peninsula.,History,"1929, 1992",Set Answer
220,"I'm researching the impact of the global financial crisis on different economies in the years after the crisis. According to World Bank, out of the 5 countries (excluding Turks and Caicos Islands and Northern Mariana Islands) with the lowest growth rate of GDP in 2009 which had the highest mean inflation (consumer prices) over the three following years (2010, 2011 and 2012)?",Finance & Economics,Botswana,Single Answer
221,"According to calderdale.gov.uk, in which wards in Calderdale did the Green Party win more than 500 votes in the local elections in 2024?",Politics & Government,"Calder, Northowram and Shelf, Park, Skircoat",Set Answer
222,"Referencing Statistics Canada (table 23-10-0253-01), which Canadian airports reported over 500,000 passengers in 2020 were also eligible for airport relief funding or the Airport Critical Infrastructure Program in 2021, as verified by Transport Canada?",Politics & Government,"Halifax Stanfield Airport, Edmonton Airport, Winnipeg James Armstrong Richardson Airport, Ottawa Macdonald-Cartier Airport, Toronto (Lester B) Pearson Airport, Montréal (Pierre Elliott Trudeau) Airport, Calgary Airport, Vancouver Airport",Set Answer
223,"Of the banned books by male authors in the state of Virginia according to PEN America's Index of School Book Bans - 2022-2023, which were published in the 20th century? Please list the books with their authors and order your answer by author birth year from furthest back to most recent.",Politics & Government,"Fences by August Wilson, It by Stephen King, Snow Falling on Cedars by David Guterson, The Perks of Being a Wallflower by Stephen Chbosky",Set Answer
224,"I'm researching archived volcanic data. According to the Smithsonian Institution's weekly report archives involving December 2010, which weeks had over 15 volcanic reports? Notate the weeks the same way they (the SI) notate them (example only: 1 December-7 December 2010, 29 December-4 January 2011).",Science,"1 December-7 December 2010, 15 December-21 December 2010, 29 December-4 January 2011",Set Answer
225,"Among the 20 most populated US states in 2020 according to the United States Census Bureau, which states voted in favor of the Democratic Presidential candidate with a lead of 10% or more in the U.S. Presidential Election of the same year (2020), had a teen birth rate of less than or equal to 13 per 1,000 females aged 15-19 according to the CDC Teen Birth Rate by State for the same year (2020), and had suicide mortality rates of less than or equal to 11 per 100,000 total population according to the CDC Suicide Mortality Rates by State for the same year (2020)?",Politics & Government,"California, New York, New Jersey, Massachusetts",Set Answer
226,"Trying to find a non-Oxbridge university to suit my daughter who wants to study History. Which UK universities were ranked in the top 25 overall in the Guardian 2022 university guide, had a History teaching satisfaction score of 92 or higher, and are located in a city with a population under 100,000 according to the 2021 UK census?",Education,"St Andrews, Chichester, Loughborough, Lancaster, Royal Holloway, Durham",Set Answer
227,"I'd like to know which states have not shown themselves to be predisposed to the ""incumbent effect"". Make me a list of every state from the 1980 election through the 2020 election, where an incumbent Republican president did not shown an increased percentage share of the vote from their first election that elevated them to the presidency, to their second term winning election. Alphabetical order for the states please.",Politics & Government,"North Carolina, South Dakota, Vermont",Set Answer
228,"Please provide a list of all chapters in the book Alcoholics Anonymous that come after the chapter ""Working with Others"".  List them in the order that they appear.  Include appendices and personal stories.  Use the fourth edition first printed in 2001.",Education,"To Wives, The Family Afterward, To Employers, A Vision For You, Doctor Bob’s Nightmare, Alcoholics Anonymous Number Three, Gratitude in Action, Women Suffer Too, Our Southern Friend, The Vicious Cycle, Jim’s Story, The Man Who Mastered Fear, He Sold Himself Short, The Keys of the Kingdom, The Missing Link, Fear of Fear, The Housewife Who Drank at Home, Physician, Heal Thyself!, My Chance to Live, Student of Life, Crossing the River of Denial, Because I’m an Alcoholic, It Might Have Been Worse, Tightrope, Flooded With Feeling, Winner Takes All, Me an Alcoholic?, The Perpetual Quest, A Drunk, Like You, Acceptance Was the Answer, Window of Opportunity, My Bottle, My Resentments, and Me, He Lived Only to Drink, Safe Haven, Listening to the Wind, Twice Gifted, Building a New Life, On the Move, A Vision of Recovery, Gutter Bravado, Empty on the Inside, Grounded, Another Chance, A Late Start, Freedom From Bondage, A.A. Taught Him to Handle Sobriety, The A.A. Tradition, Spiritual Experience, The Medical View on A.A., The Lasker Award, The Religious View on A.A., How to Get in Touch With A.A., Twelve Concepts (Short Form)",Set Answer
229,"Which of Georgia O’Keeffe's works at the Art Institute of Chicago, as of June 2024, were landscapes of New Mexico created before 1940 with oil painting?",Arts,"Red Hills with Flowers (1937), Black Cross, New Mexico (1929)",Set Answer
230,"According to NordPass, what were the Top 10 ""worst"" passwords for the years 2019, 2020, 2021, and 2022? Provide the answer as a numbered list for each year.",Technology,"2019 – Top 10 worst passwords 
1. 12345 
2. 123456
3. 123456789 
4. test1 
5. password 
6. 12345678 
7.  zinch 
8.  g_czechout 
9.  asdf
10. qwerty 

2020 – Top 10 worst passwords
1. 123456  
2. 123456789
3.  picture1
4.  password
5.  12345678
6.  111111
7.  123123
8.  12345
9.  1234567890
10. senha 

2021 – Top 10 worst passwords
1.  123456
2.  123456789
3.  12345
4.  qwerty
5.  password
6.  12345678
7.  111111
8.  123123
9.  1234567890
10. 1234567

2022 – Top 10 worst passwords
1.  password
2.  123456
3.  123456789
4.  guest
5.  qwerty
6.  12345678
7.  111111
8.  12345
9.  col123456
10. 123123",Set Answer
231,"According to Eurostat, which of the following countries saw a decrease of less than 45% in suicides involving railways between the years of 2014 and 2020, Germany, Belgium, Portugal, Spain, UK, France, Croatia and Bulgaria. Answer with only the countries.",Health,"Germany, Belgium, UK, France, Bulgaria",Set Answer
232,"Among all countries led by a female head of state as of June 2024, identify those which are island nations that gained their independence from Great Britain and list them in the chronological order in which they did.",Geography,"Trinidad & Tobago, Malta, Barbados, Dominica",Set Answer
233,"According to the USDA National Agricultural Statistics Service, what commodity saw a greater percentage increase in production between 2010 and 2020: cheese or butter?",Other,Butter,Single Answer
234,"In August 2022, in Florida, for Newborn Screen samples, which hospitals had a specimen total that was between 200-300, and had an Unsatisfactory Specimen processing percentage above 1.0%, but also had an average transit time for delivery under 3 days?",Health,"ADVENTHEALTH TAMPA, HCA FLORIDA BRANDON HOSPITAL, MORTON PLANT HOSPITAL, MOUNT SINAI MEDICAL CENTER, ST MARY'S HOSPITAL, WEST BOCA MEDICAL CENTER",Set Answer
235,Compare the 2023 annual reports for Lululemon and Aritzia. Which company had a larger percentage change in their COGS from fiscal 2022 to 2023?,Finance & Economics,Aritzia,Single Answer
236,"According to Eurostat, which of the Nordic countries had the largest percentage drop in the number of persons participating in tourism for personal purposes for a duration of 1 night or over, for any destination, between the years 2019 and 2020?",Finance & Economics,Denmark,Single Answer
237,"Of the European countries which saw their greenhouse gas emissions (excluding LULUCF) increase between 2012 to 2014, which saw the smallest increase in non-dairy cattle CH4 emissions?",Science,Albania,Single Answer
238,"Using the American Kennel Club's 1-5 rating scale for Breed Traits and Characteristics, which dog breed with, ""American,"" in its name has a rating of 5 for being ""Good with Young Children,"" ""Good with other Dogs,"" their ""Barking Level,"" and their ""Mental Stimulation Needs""?",Science,American Leopard Hound,Single Answer
239,"In what museum, exhibit, and room is the mona lisa of prehistory mask housed?",Arts,"National Archaeological Museum of Athens, Collection of Mycenaean Antiquities, Hall 4",Single Answer
240,"Which U.S. Presidents attended a university that was a member of the Association of American Universities (AAU) as of May 2024, had prior experience as a state governor, and were elected president after 1900?",Politics & Government,"Woodrow Wilson, Jimmy Carter, Franklin D. Roosevelt, George W. Bush, Bill Clinton, Theodore Roosevelt",Set Answer
241,"According to table 2.2 in the ICILS 2023 international report, which countries had the most categories for both CIL and CT education which were ""Available but not compulsory to teach"" for ISCED 1 level education?",Technology,"United States, Netherlands",Single Answer
242,"Based on the ""Immigrants to Japan: Where did they move from?"" data from Our World in Data as of 2020, which South American and African nations had more than 3000 immigrants to Japan?",Geography,"Brazil, Argentina, Bolivia, Peru, Nigeria",Set Answer
243,"In the years 2020, 2022, and 2023, which year was SIL Global partnered with the most language communities?",Education,2023,Single Answer
244,The largest synchrotron laboratory in California has several facilities which are not joint with other institutes. One of these facilities was used to develop a publication in 2023 on Bayesian experimental design. List the authors for this publication.,Science,"Z. Chen, C. Peng, A. N. Petsch, S. R. Chitturi, A. Okullo, S. Chowdhury, C. H. Yoon, J. Turner",Set Answer
245,"Looking at Transport Canada's statistics on motor vehicle collisions from 2003 to 2022, which years had an increase in fatalities or serious injuries, but a decrease in total injuries compared to their previous year? You can find the table here:https://tc.canada.ca/en/road-transportation/statistics-data/canadian-motor-vehicle-traffic-collision-statistics/2022/canadian-motor-vehicle-traffic-collision-statistics-2022#fn5",Other,"2004, 2005, 2006, 2012, 2016, 2018",Set Answer
246,"For the 2018 base models in Optima, Accord, Altima, Sonata, Camry, Malibu, Mazda6, and Civic, which model has 70L fuel capacity and an MSRP under $24,000 CAD?",Technology,Optima,Single Answer
247,"Of all the Iowa counties who saw a rise in number of farms from 1930-1935 and again in 1935-1940, which 1942 secretary of agriculture candidates got the majority of votes for each county?",Politics & Government,"Black Hawk County: Linn, Franklin County: Linn, Greene County: Linn, Jackson County: Linn, Johnson County: Murray, Sac County: Linn, Worth County: Linn",Set Answer
248,"Using FDIC information, of the failed banks closed in Wisconsin in 2011, which one has the highest “Total Paid” percentage for dividends marked as final?",Finance & Economics,Evergreen State Bank,Single Answer
249,"For the Car and Driver magazine 2004 list of top 10 best cars, list the cars with European makes, and order them in maximum price (ascending)",Other,"Audi S4 Quattro, BMW 3-series/M3",Set Answer
250,"Using data from civilrightsdata.ed.gov for the 2017-2018 school year, determine which of the following states - South Carolina, North Carolina, Georgia, or Virginia - had the highest ratio of full-time equivalent school counselors to students reported as victims of race-related harassment or bullying.",Education,North Carolina,Single Answer
251,"According to data.un.org, out of Denmark, Norway, and Sweden, which country had the largest numerical increase in the number of threatened species from 2015 to 2020?",Science,Norway,Single Answer
252,"I’m looking for good universities in the UK. From the Guardian University Guide 2023, from the top 50 universities, which list an overall course satisfaction score of 75 or more, an overall teaching satisfaction score of 80 or more, and an added value score of 6 or more?",Education,"St Andrews, London School of Economics, Durham, UCL, Glasgow, Aberdeen, West London, UWE Bristol, UEA, Keele, Royal Holloway, Ulster.",Set Answer
253,"I'm currently looking to see how productive President Joe Biden was throughout his presidency. Can you look at the last executive order he signed in 2023 and the first one he signed in 2024, according to the Federal Register? In a bulleted list, state the day and time that each was filed following his signature, with no other information. I only need the day in MM/DD/YYYY format and the time using the 24-hour clock in parentheses next to it.",Politics & Government,"* 12/22/2023 (11:15)
* 02/02/2024 (08:45)",Set Answer
254,"I'm looking at states that are increasing oil production and the weather extremes these states face. Use U.S. Energy Information Administration (EIA) data to identify all the states which produced more crude oil in 2022 than they did in 2020 (in total). Then, use official State Climate Extremes Committee (SCEC) reports to list which of these states has had a reported maximum temperature of 120°F or more and/or a reported minimum temperature of -45°F or less.",Science,"Arizona, Arkansas, Idaho, Michigan, Montana, Nebraska, Nevada, New Mexico, New York, Texas, Utah, Wyoming",Set Answer
255,"WolfeyVGC has a mainstay pick for his championship teams despite it being one of his most hated Pokémon. How would that Pokémon stack up to Pachirisu, listing and comparing all of their base stats from when both Pokémon each respectively first appeared on a 1st place Pokémon Videogame World Championships team?",Media & Entertainment,"Incineror (2018): HP 95 (Win), Attack 115 (Win), Defense 90 (Win), Sp. Atk 80 (Win), Sp. Def 90 (Tie), Speed 60 (Lose), Total 530 (Win); Pachirisu (2014) HP 60 (Lose), Attack 45 (Lose), Defense 70 (Lose), Sp. Atk 45 (Lose), Sp. Def 90 (Tie), Speed 95 (Win), Total 405 (Lose)",Set Answer
256,"Using official data from the U.S. Energy Information Administration for May of 2024, find the 5 states west of the Mississippi that generated the most power. From those states, identify which ones had retail electricity sales revenue over 500 million dollars. And then, of the states that had sales revenue over 500 million, identify which of those sold over 10 billion kilowatt hours. Of those final states, which had the lowest average residential price for one kilowatt hour of electricity?",Finance & Economics,Texas,Single Answer
257,"I'm looking for a small SUV or a smaller-sized plug-in/hybrid vehicle, but I don't want to own any Mitsubishi. I was looking on the IIHS website for 2023's Top Safety Picks vehicles, and wanted to use that as a basis for buying. Find a car that fits all of these requirements on that site. If multiple cars fulfil the requirements, pick the one with the highest safety rating in its respective category.",Technology,2023/2024 Toyota Prius Prime 4-Door Hatchback,Single Answer
258,"Limiting to member localities of the Central Shenandoah Planning District Commission with populations under 30,000 according to 2020 U.S. Census, which one's had more than a thousand National Forest Permits issued as reported by Virginia DWR for fiscal year 2020?",Politics & Government,"Rockbridge County, City of Staunton, City of Waynesboro",Set Answer
259,"For the top 10 most populous countries in 2022 according to the World Bank, for the top 3 of those countries with the greatest net electricity production for January 2022 (using iea.org data), rank them in order from greatest to least wind to solar production ratio using the same criteria with the IEA data.",Finance & Economics,"United States, China, India",Set Answer
260,"According to FBI and National Safety Council Statistics, in the timeframe of 1990-2020, for which President's first year in office after the election (including the first year of their second term) did incidents of aggravated assault, robbery, motor vehicle theft, and motor vehicle deaths decline?",Politics & Government,"Obama 2009, Obama 2013",Set Answer
261,"What is the name of the singer who was in several groups, one of these groups had a third album with a song title that was used for a Jason Lee comedy movie. Also, give the years when he won Best Male Vocalist.",Media & Entertainment,"Chris Cornell, 1991, 1992",Set Answer
262,"Using NASA's archive, which exoplanets discovered in 2023 using TESS with an orbital period of less than 2 days are part of a host system comprising more than 1 planet?",Science,"GJ 806 b, TOI-4010 b, WASP-84 c",Set Answer
263,"Using the USDA FoodCentral data published only in 2020 for Branded Foods, what kind of cheese is used in the ingredients of the product in the ""Flavored Snack Crackers"" category that has the highest amount of protein per 100g portion?",Health,Parmesan cheese,Single Answer
264,"According to the Encyclopaedia of Exoplanetary Systems, which exoplanet orbiting the star WASP-47 and discovered in 2015 has a mass closest to that of the most massive planet orbiting WASP-84?",Science,WASP-47 c,Single Answer
265,"For the authors of the paper ""Observational constraints on the interacting dark energy — Dark matter (IDM) cosmological models"" on science direct, do any of them have a listed ORCID page that shows a paper in 2023 in which they're listed first and what is the name of it (+ author)?",Science,"""Astrophysical and electromagnetic emissivity properties of black holes surrounded by a quintessence type exotic fluid in the scalar–vector–tensor modified gravity"" with Haidarand Sheikhahmadi; ""Stochastic multiple fields inflation: Diffusion dominated regime"" with Kosar Asadi",Set Answer
266,"According to openprescribing.net, for December 2022 in the North Easington PCN, what were the top five medications with the most extra costs associated? Give me this information combined with the top five medications from May 2024 (for the same PCN) - put them in order from most to least extra cost, using the medication names as shown on the website.",Health,"Carbocisteine 375mg capsules, Omeprazole 20mg gastro-resistant capsules, Ezetimibe 10mg tablets, Paracetamol 250mg/5ml oral suspension sugar free, Alendronic acid 70mg tablets, Promethazine hydrochloride 25mg tablets, Mometasone 50micrograms/dose nasal spray, Pregabalin 50mg capsules, Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials, Terbinafine 250mg tablets",Set Answer
267,"The singer that won the lvor Novello Lifetime Achievement award in the same year that the singers of the end credits song for the sitcom that former first child Chelsea Clinton appeared in in 2022 were nominated but did not win, had 3 songs that made it into the UK top 40 official singles. One of these songs was a collaboration with a singer who's song was covered on the sitcom, but which musical was the song originally written for?",Media & Entertainment,Scraps,Single Answer
268,"Of the EU member countries that do not share a land border with Russia, find the top 15 with the highest GDP per capita in 2023. Filter these down to only countries with populations lower than 8 million as of 2023 (according to Worldometer), and also remove any with poor air quality, meaning higher than 14(μg/m³) (based on annual average PM2.5 concentration using 2023 IQAir data).",Geography,"Ireland, Luxembourg, Denmark, Malta",Set Answer
269,"Based on information from the Royal Shakespeare Company’s (RSC) website, list the names of all Shakespearian tragedies written in the Elizabethan age that were performed by the RSC between 2018 and 2023 (not including tours, only in-house).",Arts,"Troilus and Cressida, Romeo and Juliet, Julius Caesar",Set Answer
270,"Of the bills that became law from the 111th Congress, of those that had over thirty cosponsors, for bills which directly mentioned animals, the conservation of animals in some kind of way, or animal products in their name, who were the original sponsors of those bills?",Politics & Government,"Elton Gallegly,
Henry E. Brown, Jr.,
James P. Moran",Set Answer
271,"In Concepcion v. United States, the Supreme Court issued a decision on whether a district court could consider intervening legal and factual developments when deciding whether to impose a reduced sentence on an individual under a particular Congressional act. Of the last three senators to co-sponsor the bill that became the law in question, who graduated from University of Mississippi?",Politics & Government,Jeanne Shaheen,Single Answer
272,"According to Statistics Canada, when comparing the years 2017 and 2023, which Canadian Region had the greatest decrease in domestic revenue from services relating to environmental and clean technologies?",Finance & Economics,Alberta,Single Answer
273,"What authors/co-authors are in at least two of the three papers ""Detection of Cyclopropenylidene on Titan with ALMA,"" ""The composition of Titan's stratosphere from Cassini/CIRS mid-infrared spectra,"" and ""Ethyl Cyanide on Titan: Spectroscopic Detection and Mapping using ALMA""",Science,"Conor A. Nixon, Joseph Serigano, Martin A. Cordiner, Nicholas A. Teanby, Patrick G. J. Irwin, Steven B. Charnley, Yi-Jehng Kuan, Zbigniew Kisiel",Set Answer
274,"According to the U.S. Department of Energy, which U.S. states showed an increase in electric vehicle registrations of more than 30 per 10,000 people between 2021 and 2022, that also experienced a reduction in traffic deaths per 10,000 vehicles between 2021 and 2022, according to the National Safety Council?",Other,"Florida, Utah",Set Answer
275,"From the Santa Clara Valley Water District's 2019 Large Landscape Program annual report, find the retail agencies that had a public park site count over 15. Exclude retail agencies that are not cities. Then from these cities, please list the ones that, according to the Bay Area Census by Association of Bay Area Governments and Metropolitan Transportation Commission, had a population under 100,000 in 2020.",Politics & Government,"Milpitas, Mountain View",Set Answer
276,"On June 1, 2023, which of these stocks had opening and closing prices above $150? Apple, Microsoft, Nvidia, and Alphabet.",Finance & Economics,"Apple, Microsoft",Set Answer
277,A 2021 IUCN report identified an elephant species as critically endangered and named 12 West African countries that had a known population of this elephant. Which of these countries were members of Elephant Protection Initiative at the time of this report?,Other,"Benin, Côte d'Ivoire, Guinea, Liberia, Nigeria, Sierra Leone",Set Answer
278,"Use protein sequences from https://www.uniprot.org/. I am interested in identifying which of the encapsulin shell proteins from the following species: T. maritima (Q9WZP2), A. baumannii (A0A6F8THQ2), M. xanthus (Q1D6H4), Q. thermotolerans (A0A0F5HPP7) and R. rubrum (Q2RVS0) are most likely to form di-sulphide bridges in an extracellular environment. Therefore, which of these sequences have the greatest number of cysteine residues? If multiple species share the highest count, include all of them. For the answer, use the species names in the format: 'X. y' in a comma separated list.",Science,"T. maritima, A. baumannii",Set Answer
279,"According to the CIA World Factbook, which countries who have either the Union Flag or no red on their flags and have gained independence from Britain saw a population growth rate over 1% in 2024?",Geography,"Australia, Bahamas, Botswana, Israel, Nigeria, Pakistan, Sierra Leone, Solomon Islands, Somalia, Tanzania",Set Answer
280,List the railroad accidents investigated by the NTSB with incident dates in 2022 and only in states where Trump won the presidential vote in the 2020 election. Present the entries as only the investigation Report Numbers corresponding to each incident.,Current Events,"RIR-24-02, RIR-24-03, RIR-23-09, HZIR-23-01, RIR-23-16",Set Answer
281,"Of the countries who became members of the United Nations in 1975, which countries saw both their electoral democracy index score and their participatory democracy index score increase in 1976, according to Our World in Data?",Politics & Government,"Suriname, Comoros, Mozambique",Set Answer
282,"Determine how many U.S. banks failed in 2008, and then list those that had assets totaling more than 5 billion. Which was the largest bank (in assets) to fail in 2008, and which was the smallest (in assets) to fail in 2008? Use data from FDIC.",Finance & Economics,"U.S. banks that failed in 2008 with assets totaling more than 5 billion: Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB), Henderson, NV; IndyMac Bank, Pasadena, CA; Downey Savings and Loan Association, F.A., Newport Beach, CA; and Franklin Bank, SSB, Houston, TX

Largest: Washington Mutual Bank
Smallest: Hume Bank, Hume, MO",Set Answer
283,"According to the FAO, which continent (Africa, The Americas, Asia, Europe, Oceania) experienced the second largest percentage increase in aquaculture employment between 2005 and 2020?",Geography,The Americas,Single Answer
284,"Using 2020 data, identify the ten countries with the highest percentages of women aged 25-64 with tertiary attainment (compareyourcountry.org). Then, identify the 2020 age-standardized female suicide rates per 100,000 population for those 10 countries (World Health Organization). Repeat these same steps for men. Finally, determine which countries fall on both lists for tertiary attainment. Of those countries, name the ones that had age-standardized suicide rates of 5.5 or higher for women and 15.0 or higher for men. List them in alphabetical order.",Education,"Japan, Russia, United States of America",Set Answer
285,"List universities from designated regional areas of Australia as of 2023 that are ranked as world's top 100 Universities  either in THE World University Ranking 2023 or QS World University Ranking 2023, but missing from top 100 spot from 2023 Academic Ranking of World Universities.",Education,"The University of Adelaide, The University of Western Australia",Set Answer
286,"Which combined height is greater? Those of the two tallest players on the 2022-2023 Lehman College basketball team, or their counterparts on the 2023-2024?",Sports,The 2023-2024 Lehman College basketball team had the larger combined height for the tallest two players.,Single Answer
287,"According to the Global Summaries dataset from the National Centers for Environmental Information, did California (data collected from LA International Airport), New York (JFK International Airport), or Oklahoma (OKC Will Rogers World Airport) have the biggest difference in total precipitation between the first and last months of 2023?",Science,New York,Single Answer
288,"I'm writing an article about how the CPG industry performed in 2023 amid the inflationary environment, with a focus on the following list: Pepsi, Mondelez, and General Mills. Using Yahoo Finance, determine which of these companies featured annual EBITDA growth between 2022-2023 that was closest to the rate of inflation in ""Food"" in 2023, as recorded by the USDA.",Finance & Economics,Pepsi,Single Answer
289,"Of the US CBSAs located in Arizona which had a median AQI in the “moderate level of concern range” as per the EPA's annual AQI by CBSA report for 2021, which still had a median AQI in that range in the subsequent 2022 report?",Health,Tucson,Single Answer
290,"Of the first-generation Water-type Pokémon used by the three main protagonists in Pokémon: Indigo League, which ones have a base HP stat of 50 or higher?",Media & Entertainment,"Kingler, Starmie, Psyduck, Seel, Dewgong",Set Answer
291,"Of the top 8 of the U.S. Energy Information Administration's 2023 list of Major U.S. Coal Producers, which companies operate coal mines in Wyoming?",Geography,"Peabody Energy, Arch Resources, Navajo Transitional Energy Co, and David Michael Jamison Petri E Koivula (Eagle Summit Resources)",Set Answer
292,Please list all the plays by Shakespeare that mention or allude to pears.,Arts,"All’s Well that Ends Well, The Merry Wives of Windsor, Romeo and Juliet, The Winter’s Tale",Set Answer
293,"In the two years 2022/2023, which Canadian province had the largest total capital expenditure in hydroelectric power generation over that time?",Finance & Economics,Quebec,Single Answer
294,States larger than 75k square miles according to the USGS with more than 2 million in population according to the 2020 U.S. Census with no part of the state in a USDA hardiness zone colder than 4b and that doesn't have a coastline.,Geography,"Arizona, Kansas, New Mexico",Set Answer
