,problem,answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links
233,"This founder of the Academy of Science, St. Louis became established as a botonist for a monograph he did in 1842. What is the scientic name for plant featured in that monograph?",Cuscuta,"https://en.wikipedia.org/wiki/Academy_of_Science,_St._Louis",https://en.wikipedia.org/wiki/George_Engelmann,https://en.wikipedia.org/wiki/Cuscuta,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Academy_of_Science,_St._Louis', 'https://en.wikipedia.org/wiki/George_Engelmann', 'https://en.wikipedia.org/wiki/Cuscuta']"
234,"Which American actress, born the same year Denzel Washington won his first Best Actor in a Leading Role Academy Award, had a supporting role in the second season of the Netflix series ""You""?",Jenna Ortega,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Denzel_Washington,https://en.wikipedia.org/wiki/Jenna_Ortega,https://en.wikipedia.org/wiki/Victoria_Pedretti,https://en.wikipedia.org/wiki/Carmela_Zumbado,https://en.wikipedia.org/wiki/Ambyr_Childers,https://en.wikipedia.org/wiki/Saffron_Burrows,https://en.wikipedia.org/wiki/Tati_Gabrielle,https://en.wikipedia.org/wiki/You_(TV_series)#Season_2_(2019),,,,Numerical reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Denzel_Washington', 'https://en.wikipedia.org/wiki/Jenna_Ortega', 'https://en.wikipedia.org/wiki/Victoria_Pedretti', 'https://en.wikipedia.org/wiki/Carmela_Zumbado', 'https://en.wikipedia.org/wiki/Ambyr_Childers', 'https://en.wikipedia.org/wiki/Saffron_Burrows', 'https://en.wikipedia.org/wiki/Tati_Gabrielle', 'https://en.wikipedia.org/wiki/You_(TV_series)#Season_2_(2019)']"
235,"What is the birthday of the man who produced the pop song named after one of the largest bird in the Procellariiformes species, off the 2024 album The Tortured Poets Department?","Aaron Dessner was born April 23, 1976.",https://en.wikipedia.org/wiki/Procellariiformes,https://en.wikipedia.org/wiki/Aaron_Dessner,https://en.wikipedia.org/wiki/The_Tortured_Poets_Department,,,,,,,,,Tabular reasoning | Multiple constraints | Post processing,"['https://en.wikipedia.org/wiki/Procellariiformes', 'https://en.wikipedia.org/wiki/Aaron_Dessner', 'https://en.wikipedia.org/wiki/The_Tortured_Poets_Department']"
236,What Jeep model shares its name with the Secret Service codename for a 21st-century US president?,Renegade,https://en.wikipedia.org/wiki/Secret_Service_code_name,https://en.wikipedia.org/wiki/List_of_Jeep_vehicles,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Secret_Service_code_name', 'https://en.wikipedia.org/wiki/List_of_Jeep_vehicles']"
237,Who was the Prime Minister of Canada in the year that the 1965 winner of the Best New Artist Grammy Award made their first appearance on US television?,Lester Pearson,https://en.wikipedia.org/wiki/Grammy_Award_for_Best_New_Artist#1960s,https://en.wikipedia.org/wiki/The_Beatles,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Canada#Prime_ministers,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Grammy_Award_for_Best_New_Artist#1960s', 'https://en.wikipedia.org/wiki/The_Beatles', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Canada#Prime_ministers']"
238,"Part of the dynamic duo who broke a record set by Mickey Lolich and Bill Freehan in 1975 for most starts together, this MLB pitcher's battery mate ranked first all-time among catchers in putouts as of 2022. In what year did he (the pitcher)  make his Grand Ole Opry debut?",2024,https://en.wikipedia.org/wiki/St._Louis_Cardinals,https://en.wikipedia.org/wiki/Yadier_Molina,https://en.wikipedia.org/wiki/Adam_Wainwright,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/St._Louis_Cardinals', 'https://en.wikipedia.org/wiki/Yadier_Molina', 'https://en.wikipedia.org/wiki/Adam_Wainwright']"
239,How much time passed between the release of the blockchain platform founded by the individual who resides in the town of the same name as the James Buchanan House and the release of the prior blockchain platform co-founded by the same individual?,"Wheatland, also known as the James Buchanan House, is the same name as the town in Wyoming where Charles Hoskinson resides.  Charles Hoskinson cofounded Ethereum and founded Cardano.  Cardano was released in 2017; Ethereum was released in 2015.  Two years elapsed between the two platforms' releases.",https://en.wikipedia.org/wiki/Wheatland_(James_Buchanan_House),"https://en.wikipedia.org/wiki/Wheatland,_Wyoming",https://en.wikipedia.org/wiki/Cardano_(blockchain_platform),https://en.wikipedia.org/wiki/Ethereum#Ether,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Wheatland_(James_Buchanan_House)', 'https://en.wikipedia.org/wiki/Wheatland,_Wyoming', 'https://en.wikipedia.org/wiki/Cardano_(blockchain_platform)', 'https://en.wikipedia.org/wiki/Ethereum#Ether']"
240,Who was the character in the roster of the Marvel vs. Capcom entry that was ported to the PlayStation 4 in 2016 that represented a video game franchise that has zombies as main antagonists and is the player character of a game released in 1999?,Jill Valentine,https://en.wikipedia.org/wiki/Marvel_vs._Capcom,https://en.wikipedia.org/wiki/Ultimate_Marvel_vs._Capcom_3,https://en.wikipedia.org/wiki/Jill_Valentine,https://en.wikipedia.org/wiki/Nemesis_(Resident_Evil),https://en.wikipedia.org/wiki/Albert_Wesker,https://en.wikipedia.org/wiki/Chris_Redfield,https://en.wikipedia.org/wiki/Frank_West_(Dead_Rising),https://en.wikipedia.org/wiki/Resident_Evil_3:_Nemesis,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Marvel_vs._Capcom', 'https://en.wikipedia.org/wiki/Ultimate_Marvel_vs._Capcom_3', 'https://en.wikipedia.org/wiki/Jill_Valentine', 'https://en.wikipedia.org/wiki/Nemesis_(Resident_Evil)', 'https://en.wikipedia.org/wiki/Albert_Wesker', 'https://en.wikipedia.org/wiki/Chris_Redfield', 'https://en.wikipedia.org/wiki/Frank_West_(Dead_Rising)', 'https://en.wikipedia.org/wiki/Resident_Evil_3:_Nemesis']"
241,"The screenwriter of the film, which received nominations for Best Screenplay and Best Actor in a Motion Picture - Drama at the 1995 Golden Globes, attended which Michigan university?",Grand Valley State University,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_in_a_Motion_Picture_%E2%80%93_Drama,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Screenplay,https://en.wikipedia.org/wiki/Tim_Robbins,https://en.wikipedia.org/wiki/Patrick_Sheane_Duncan,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_in_a_Motion_Picture_%E2%80%93_Drama', 'https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Screenplay', 'https://en.wikipedia.org/wiki/Tim_Robbins', 'https://en.wikipedia.org/wiki/Patrick_Sheane_Duncan']"
242,NASA launched an Apollo mission a year after the Stonewall Riots. How many collective children did the astronauts onboard that mission have?,8,https://en.wikipedia.org/wiki/Stonewall_riots,https://en.wikipedia.org/wiki/List_of_Apollo_missions,https://en.wikipedia.org/wiki/Jim_Lovell,https://en.wikipedia.org/wiki/Jack_Swigert,https://en.wikipedia.org/wiki/Fred_Haise,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Stonewall_riots', 'https://en.wikipedia.org/wiki/List_of_Apollo_missions', 'https://en.wikipedia.org/wiki/Jim_Lovell', 'https://en.wikipedia.org/wiki/Jack_Swigert', 'https://en.wikipedia.org/wiki/Fred_Haise']"
243,A United States women's national soccer team player scored her first career international goal during the semi-final match of the 2015 FIFA Women's World Cup. This same player scored her second goal the next year. Tell me the difference in attendance between these two games.,"43,518",https://en.wikipedia.org/wiki/2015_FIFA_Women%27s_World_Cup_knockout_stage,https://en.wikipedia.org/wiki/Kelley_O%27Hara,https://en.wikipedia.org/wiki/Carli_Lloyd,https://en.wikipedia.org/wiki/2016_CONCACAF_Women%27s_Olympic_Qualifying_Championship#Group_A,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/2015_FIFA_Women%27s_World_Cup_knockout_stage', 'https://en.wikipedia.org/wiki/Kelley_O%27Hara', 'https://en.wikipedia.org/wiki/Carli_Lloyd', 'https://en.wikipedia.org/wiki/2016_CONCACAF_Women%27s_Olympic_Qualifying_Championship#Group_A']"
244,"Who is the Formula One driver who won their first Driver's Championship in the 46th season, what team did they race for that year, and how many years after that team's first race was it?","Nigel Mansell, Williams Grand Prix Engineering, 15 years",https://en.wikipedia.org/wiki/History_of_Formula_One,https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship,https://en.m.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/History_of_Formula_One', 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship', 'https://en.m.wikipedia.org/wiki/Williams_Grand_Prix_Engineering']"
245,"There is only one existing lighthouse with attached living quarters in the ninth-largest US state by area, as of August 1, 2024. This lighthouse is located on the north side of a bay named for which tribe?",The Yaquina Tribe,https://en.wikipedia.org/wiki/Yaquina_Bay_Light,https://en.wikipedia.org/wiki/Oregon,https://en.wikipedia.org/wiki/Yaquina_Bay,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Yaquina_Bay_Light', 'https://en.wikipedia.org/wiki/Oregon', 'https://en.wikipedia.org/wiki/Yaquina_Bay']"
246,"Consider the following three people:  1. Edmund, who turned 10 on the day of the Battle of Hastings 2. Edward, who turned 12 on the day that Guy Fawkes was executed 3. Eddie, who turned 14 on the day of the London 2012 Summer Olympics opening ceremony  Who would be oldest: Edmund on the day King Henry I of England died, Edward on the day of the Battle of Naseby, or Eddie on the day Liz Truss announced her resignation as Conservative Party leader?",Edmund,https://en.wikipedia.org/wiki/Battle_of_Hastings,https://en.wikipedia.org/wiki/Guy_Fawkes,https://en.wikipedia.org/wiki/2012_Summer_Olympics_opening_ceremony,https://en.wikipedia.org/wiki/Henry_I_of_England,https://en.wikipedia.org/wiki/Battle_of_Naseby,https://en.wikipedia.org/wiki/Liz_Truss,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Battle_of_Hastings', 'https://en.wikipedia.org/wiki/Guy_Fawkes', 'https://en.wikipedia.org/wiki/2012_Summer_Olympics_opening_ceremony', 'https://en.wikipedia.org/wiki/Henry_I_of_England', 'https://en.wikipedia.org/wiki/Battle_of_Naseby', 'https://en.wikipedia.org/wiki/Liz_Truss']"
247,What was the final league position of the football team found in the city where José Loiola won his first World Championship gold medal for the season which began in that same year when he won gold?,15th,https://en.wikipedia.org/wiki/Jos%C3%A9_Loiola,https://en.wikipedia.org/wiki/1999%E2%80%932000_Olympique_de_Marseille_season,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Jos%C3%A9_Loiola', 'https://en.wikipedia.org/wiki/1999%E2%80%932000_Olympique_de_Marseille_season']"
248,"Which is bigger based on their maximum average lengths multiplied by their number of legs: an elephant beetle, a brown rhinoceros beetle, or a bee hummingbird?",Elephant beetle,https://en.wikipedia.org/wiki/Elephant_beetle,https://en.wikipedia.org/wiki/Xylotrupes_gideon,https://en.wikipedia.org/wiki/Bee_hummingbird,https://en.wikipedia.org/wiki/Bird#Anatomy_and_physiology,https://en.wikipedia.org/wiki/Insect,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Elephant_beetle', 'https://en.wikipedia.org/wiki/Xylotrupes_gideon', 'https://en.wikipedia.org/wiki/Bee_hummingbird', 'https://en.wikipedia.org/wiki/Bird#Anatomy_and_physiology', 'https://en.wikipedia.org/wiki/Insect']"
249,"What is the name of the Japanese man who protested the U.S.'s involvement in the Iraq War, and who has also been awarded multiple times the same award that ""Shrek"" won in 2002, beating ""Jimmy Neutron: Boy Genius""?",Hayao Miyazaki,https://en.wikipedia.org/wiki/Shrek#Accolades,https://en.wikipedia.org/wiki/74th_Academy_Awards#Winners_and_nominees,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Animated_Feature#Multiple_wins_and_nominations,https://en.wikipedia.org/wiki/Hayao_Miyazaki#Views,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Shrek#Accolades', 'https://en.wikipedia.org/wiki/74th_Academy_Awards#Winners_and_nominees', 'https://en.wikipedia.org/wiki/Academy_Award_for_Best_Animated_Feature#Multiple_wins_and_nominations', 'https://en.wikipedia.org/wiki/Hayao_Miyazaki#Views']"
250,The Sikh empire's capital at the time of the Battle of Sobraon came under the rule of the British Crown in what year?,1858,https://en.wikipedia.org/wiki/Battle_of_Sobraon,https://en.wikipedia.org/wiki/Lahore,https://en.wikipedia.org/wiki/Punjab_Province_(British_India),,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Battle_of_Sobraon', 'https://en.wikipedia.org/wiki/Lahore', 'https://en.wikipedia.org/wiki/Punjab_Province_(British_India)']"
251,"I remember reading a book in elementary school that I LOVED and I want to read it to my daughter. The problem is I can't remember the title. I know that when I first read it, it had recently won a Caldecott Medal. I have another memory from around the same time period of watching the Sydney Summer Olympics. All I remember about the plot is that it was based on a true story and set in the winter time. Can you help me remember the title?",Snowflake Bentley,https://en.wikipedia.org/wiki/Caldecott_Medal#Recipients,https://en.wikipedia.org/wiki/2000_Summer_Olympics,https://en.wikipedia.org/wiki/Snowflake_Bentley_(book),,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Caldecott_Medal#Recipients', 'https://en.wikipedia.org/wiki/2000_Summer_Olympics', 'https://en.wikipedia.org/wiki/Snowflake_Bentley_(book)']"
252,What is the name of the town or city of birth of the player who won the men's singles at the US Open on the year after Venus & Serena Williams played each other for the 8th time as pros?,"Omaha, Nebraska",https://en.wikipedia.org/wiki/Williams_sisters_rivalry,https://en.wikipedia.org/wiki/2003_US_Open_(tennis),https://en.wikipedia.org/wiki/Andy_Roddick,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Williams_sisters_rivalry', 'https://en.wikipedia.org/wiki/2003_US_Open_(tennis)', 'https://en.wikipedia.org/wiki/Andy_Roddick']"
253,Which fast food chain did the sponsor of the Women's 2018 Volleyball Thailand League acquire rights to in 1987?,Kentucky Fried Chicken,https://en.wikipedia.org/wiki/2018%E2%80%9319_Women%27s_Volleyball_Thailand_League,https://en.wikipedia.org/wiki/Charoen_Pokphand,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/2018%E2%80%9319_Women%27s_Volleyball_Thailand_League', 'https://en.wikipedia.org/wiki/Charoen_Pokphand']"
254,How many calories are in 7 oz. of the fruit given as a present in the musical that won Best Revival of a Musical at the 52nd Annual Tony Awards?,100 calories,https://en.wikipedia.org/wiki/52nd_Tony_Awards,https://en.wikipedia.org/wiki/Cabaret_(musical),https://en.wikipedia.org/wiki/Pineapple,,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/52nd_Tony_Awards', 'https://en.wikipedia.org/wiki/Cabaret_(musical)', 'https://en.wikipedia.org/wiki/Pineapple']"
255,"In the second album of a synthpop-rock band from the county seat city of Utah County, which song has a length of under 3 minutes, not counting any bonus tracks?",Everybody Talks,"https://en.wikipedia.org/wiki/Utah_County,_Utah","https://en.wikipedia.org/wiki/Provo,_Utah","https://en.wikipedia.org/wiki/List_of_people_from_Provo,_Utah",https://en.wikipedia.org/wiki/Neon_Trees,https://en.wikipedia.org/wiki/Picture_Show_(album),,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Utah_County,_Utah', 'https://en.wikipedia.org/wiki/Provo,_Utah', 'https://en.wikipedia.org/wiki/List_of_people_from_Provo,_Utah', 'https://en.wikipedia.org/wiki/Neon_Trees', 'https://en.wikipedia.org/wiki/Picture_Show_(album)']"
256,"The name of which supernova remnant nebula spelled backwards (not including the word ""nubula"") is a homonym for a large sailing ship?","Crab Nebula (""barc"" is a homonym for ""barque"")",https://en.wikipedia.org/wiki/List_of_supernova_remnants,https://en.wikipedia.org/wiki/Barque,,,,,,,,,,Post processing,"['https://en.wikipedia.org/wiki/List_of_supernova_remnants', 'https://en.wikipedia.org/wiki/Barque']"
257,What award did the arachnologist who discovered several species of pseudoscorpions endemic to Australia receive in 2013? The species he discovered in 1987 belong to the Garypidae family and the Synsphyronus genus.,The Bonnet Award by the International Society of Arachnology,https://en.wikipedia.org/wiki/Pseudoscorpion#Classification,https://en.wikipedia.org/wiki/Garypidae#Genera,https://en.wikipedia.org/wiki/Synsphyronus#Species,"https://en.wikipedia.org/wiki/Mark_Harvey_(arachnologist)#Achievements,_awards_and_recognition",,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Pseudoscorpion#Classification', 'https://en.wikipedia.org/wiki/Garypidae#Genera', 'https://en.wikipedia.org/wiki/Synsphyronus#Species', 'https://en.wikipedia.org/wiki/Mark_Harvey_(arachnologist)#Achievements,_awards_and_recognition']"
258,"As of August 2, 2024, what is the title of the most viewed episode in the second most viewed season of the TV show that Zooey Deschanel stars in as a character named ""Jess Day""?","The most viewed episode of the second season (second most viewed) is its first episode, ""Re-Launch"". ",https://en.wikipedia.org/wiki/Zooey_Deschanel,https://en.wikipedia.org/wiki/New_Girl#Episodes,https://en.wikipedia.org/wiki/List_of_New_Girl_episodes#Season_2_(2012%E2%80%9313),,,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Zooey_Deschanel', 'https://en.wikipedia.org/wiki/New_Girl#Episodes', 'https://en.wikipedia.org/wiki/List_of_New_Girl_episodes#Season_2_(2012%E2%80%9313)']"
259,American author Joan Didion's second fiction novel has a film adaptation. The director of this film is the uncle of a famous pop singer This pop singer once famously sang a song with lyrics describing a combustible-containing device. This song received nominations for Best Pop Solo Performance and Record of the Year at the 54th Annual Grammy Awards. This song was inspired by another book. What is the name of the song and the book that inspired it?,"Firework by Katy Perry was inspired by ""On the Road"" by Jack Kerouac ",https://en.wikipedia.org/wiki/Joan_Didion,https://en.wikipedia.org/wiki/Play_It_as_It_Lays,https://en.wikipedia.org/wiki/Play_It_as_It_Lays_(film),https://en.wikipedia.org/wiki/Frank_Perry,https://en.wikipedia.org/wiki/Katy_Perry,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Katy_Perry#Awards_and_nominations,,,,,,Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Joan_Didion', 'https://en.wikipedia.org/wiki/Play_It_as_It_Lays', 'https://en.wikipedia.org/wiki/Play_It_as_It_Lays_(film)', 'https://en.wikipedia.org/wiki/Frank_Perry', 'https://en.wikipedia.org/wiki/Katy_Perry', 'https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Katy_Perry#Awards_and_nominations']"
260,"Canadian politician Keir Clark attended a now defunct university college, which shut its doors in 1969. Who served as the first President of its successor institution?",Ronald James Baker,https://en.wikipedia.org/wiki/Keir_Clark,https://en.wikipedia.org/wiki/Prince_of_Wales_College,https://en.wikipedia.org/wiki/University_of_Prince_Edward_Island,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Keir_Clark', 'https://en.wikipedia.org/wiki/Prince_of_Wales_College', 'https://en.wikipedia.org/wiki/University_of_Prince_Edward_Island']"
261,"As of August 2024, who was president of the United States the last time The Beach Boys topped the chart on the Billboard Hot 100?",Ronald Reagan,https://en.wikipedia.org/wiki/The_Beach_Boys#History,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1988,https://en.wikipedia.org/wiki/President_of_the_United_States#History_and_development,https://en.wikipedia.org/wiki/Ronald_Reagan,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/The_Beach_Boys#History', 'https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1988', 'https://en.wikipedia.org/wiki/President_of_the_United_States#History_and_development', 'https://en.wikipedia.org/wiki/Ronald_Reagan']"
262,"As of August 1, 2024, which NFL players were both league MVP and Super Bowl MVP in the same season?","Bart Starr (66), Terry Bradshaw (78), Joe Montana (89), Emmit Smith (93), Steve Young (94), Kurt Warner (99), and Patrick Mahomes (22).",https://en.wikipedia.org/wiki/Associated_Press_NFL_Most_Valuable_Player_Award,https://en.wikipedia.org/wiki/Super_Bowl_Most_Valuable_Player_Award,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Associated_Press_NFL_Most_Valuable_Player_Award', 'https://en.wikipedia.org/wiki/Super_Bowl_Most_Valuable_Player_Award']"
263,Who was the wife of the founder of the city where the 2023 Tour De France started?,Violant of Castile,https://en.wikipedia.org/wiki/2023_Tour_de_France,https://en.wikipedia.org/wiki/Bilbao,https://en.wikipedia.org/wiki/Diego_L%C3%B3pez_V_de_Haro,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/2023_Tour_de_France', 'https://en.wikipedia.org/wiki/Bilbao', 'https://en.wikipedia.org/wiki/Diego_L%C3%B3pez_V_de_Haro']"
264,What was the military rank of the employer of the astronomer who discovered the globular cluster of stars called NGC 6441?,Major General was the rank of Thomas Brisbane.,https://en.wikipedia.org/wiki/NGC_6441,https://en.wikipedia.org/wiki/James_Dunlop,https://en.wikipedia.org/wiki/Thomas_Brisbane,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/NGC_6441', 'https://en.wikipedia.org/wiki/James_Dunlop', 'https://en.wikipedia.org/wiki/Thomas_Brisbane']"
265,"What is the average height of Mount Everest, Mount Thor, Mount Denali and The Matterhorn?",17382 ft.,https://en.wikipedia.org/wiki/Denali,https://en.wikipedia.org/wiki/Matterhorn,https://en.wikipedia.org/wiki/Mount_Thor,https://en.wikipedia.org/wiki/Mount_Everest,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Denali', 'https://en.wikipedia.org/wiki/Matterhorn', 'https://en.wikipedia.org/wiki/Mount_Thor', 'https://en.wikipedia.org/wiki/Mount_Everest']"
266,"How old was the famous composer who taught at the Ospedale della Pietà and was known as ""The Red Priest"" when his first opera premiered? ","Antonio Vivaldi was 35 when his first opera, Ottone in villa, premiered.",https://en.wikipedia.org/wiki/Ospedale_della_Piet%C3%A0,https://en.wikipedia.org/wiki/Antonio_Vivaldi,https://en.wikipedia.org/wiki/List_of_operas_by_Antonio_Vivaldi,https://en.wikipedia.org/wiki/Ottone_in_villa,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Ospedale_della_Piet%C3%A0', 'https://en.wikipedia.org/wiki/Antonio_Vivaldi', 'https://en.wikipedia.org/wiki/List_of_operas_by_Antonio_Vivaldi', 'https://en.wikipedia.org/wiki/Ottone_in_villa']"
267,"Twenty-three years after the deadliest battle in the US Civil War, who served as governor in the state in which this battle was fought?",Robert E Pattison,https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles,https://en.wikipedia.org/wiki/Battle_of_Gettysburg,https://en.wikipedia.org/wiki/List_of_governors_of_Pennsylvania,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles', 'https://en.wikipedia.org/wiki/Battle_of_Gettysburg', 'https://en.wikipedia.org/wiki/List_of_governors_of_Pennsylvania']"
268,Which president featured on a U.S. coin in 1972 served the longest as President of the United States of America?,Franklin Delano Roosevelt (12 years).,https://en.wikipedia.org/wiki/Penny_(United_States_coin),https://en.wikipedia.org/wiki/Nickel_(United_States_coin),https://en.wikipedia.org/wiki/Dime_(United_States_coin),https://en.wikipedia.org/wiki/Quarter_(United_States_coin),https://en.wikipedia.org/wiki/Half_dollar_(United_States_coin),https://en.wikipedia.org/wiki/Dollar_coin_(United_States),https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Penny_(United_States_coin)', 'https://en.wikipedia.org/wiki/Nickel_(United_States_coin)', 'https://en.wikipedia.org/wiki/Dime_(United_States_coin)', 'https://en.wikipedia.org/wiki/Quarter_(United_States_coin)', 'https://en.wikipedia.org/wiki/Half_dollar_(United_States_coin)', 'https://en.wikipedia.org/wiki/Dollar_coin_(United_States)', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States']"
269,"Tiny Tina's Wonderlands' developer released a game 10 years prior to Tiny Tina's Wonderlands' release, this game was released on PC and Consoles. What is the name of the central antagonist of that game?",Handsome Jack.,https://en.wikipedia.org/wiki/Tiny_Tina%27s_Wonderlands,https://en.wikipedia.org/wiki/Gearbox_Software,https://en.wikipedia.org/wiki/Borderlands_2,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Tiny_Tina%27s_Wonderlands', 'https://en.wikipedia.org/wiki/Gearbox_Software', 'https://en.wikipedia.org/wiki/Borderlands_2']"
270,"In 2023, Beavers are known to be the second-largest living rodents. The largest extant rodent species are natively most prevalent in a single continent. What is the largest country in this continent?",Brazil.,https://en.wikipedia.org/wiki/Beaver,https://en.wikipedia.org/wiki/Hydrochoerus,https://en.wikipedia.org/wiki/Capybara,https://en.wikipedia.org/wiki/South_America,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Beaver', 'https://en.wikipedia.org/wiki/Hydrochoerus', 'https://en.wikipedia.org/wiki/Capybara', 'https://en.wikipedia.org/wiki/South_America']"
271,Which family duo both made an appearance at the 2017 Billboard Music Awards and starred together on a Disney Channel Original Series?,Miley Cyrus and Billy Ray Cyrus,https://en.wikipedia.org/wiki/2017_Billboard_Music_Awards,https://en.wikipedia.org/wiki/List_of_programs_broadcast_by_Disney_Channel,https://en.wikipedia.org/wiki/Hannah_Montana,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/2017_Billboard_Music_Awards', 'https://en.wikipedia.org/wiki/List_of_programs_broadcast_by_Disney_Channel', 'https://en.wikipedia.org/wiki/Hannah_Montana']"
272,"Two seasons after Demar Derozan was traded to the San Antonio Spurs, who was the leading scorer for the fifth place team in the Western Conference?",Luka Dončić,https://en.wikipedia.org/wiki/DeMar_DeRozan,https://en.wikipedia.org/wiki/2020%E2%80%9321_NBA_season,https://en.wikipedia.org/wiki/2020%E2%80%9321_Dallas_Mavericks_season,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/DeMar_DeRozan', 'https://en.wikipedia.org/wiki/2020%E2%80%9321_NBA_season', 'https://en.wikipedia.org/wiki/2020%E2%80%9321_Dallas_Mavericks_season']"
273,What William Wyler movie debuted the same year that the chairman for the 1982–83 Wolverhampton Wanderers season was born?,Jezebel,https://en.wikipedia.org/wiki/1982%E2%80%9383_Wolverhampton_Wanderers_F.C._season,https://en.wikipedia.org/wiki/Derek_Dougan,https://en.wikipedia.org/wiki/William_Wyler,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/1982%E2%80%9383_Wolverhampton_Wanderers_F.C._season', 'https://en.wikipedia.org/wiki/Derek_Dougan', 'https://en.wikipedia.org/wiki/William_Wyler']"
